CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
21056652,DISTURBANCE,12/07/2021 12:00:00 AM,1899-12-31T10:15:00.000,DISORDERLY CONDUCT,2,03/18/2022 12:00:00 AM,"2300 BLOCK FULTON ST
Berkeley, CA
(37.867822, -122.266003)",2300 BLOCK FULTON ST,Berkeley,CA
21091648,THEFT MISD. (UNDER $950),12/03/2021 12:00:00 AM,1899-12-31T19:55:00.000,LARCENY,5,03/18/2022 12:00:00 AM,"700 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.867307, -122.300468)",700 BLOCK UNIVERSITY AVE,Berkeley,CA
21091526,THEFT MISD. (UNDER $950),11/30/2021 12:00:00 AM,1899-12-31T16:13:00.000,LARCENY,2,03/18/2022 12:00:00 AM,"1400 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.870054, -122.284263)",1400 BLOCK UNIVERSITY AVE,Berkeley,CA
21052245,ROBBERY,11/10/2021 12:00:00 AM,1899-12-31T19:15:00.000,ROBBERY,3,03/18/2022 12:00:00 AM,"1400 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.870054, -122.284263)",1400 BLOCK UNIVERSITY AVE,Berkeley,CA
21059079,VANDALISM,12/21/2021 12:00:00 AM,1899-12-31T18:00:00.000,VANDALISM,2,03/18/2022 12:00:00 AM,"1800 BLOCK SHATTUCK AVE
Berkeley, CA
(37.874781, -122.268758)",1800 BLOCK SHATTUCK AVE,Berkeley,CA
22090207,BURGLARY AUTO,02/13/2022 12:00:00 AM,1899-12-31T01:30:00.000,BURGLARY - VEHICLE,0,03/18/2022 12:00:00 AM,"500 BLOCK VINCENTE AVE
Berkeley, CA
(37.899278, -122.283222)",500 BLOCK VINCENTE AVE,Berkeley,CA
22004739,BRANDISHING,01/30/2022 12:00:00 AM,1899-12-31T19:23:00.000,WEAPONS OFFENSE,0,03/18/2022 12:00:00 AM,"1800 BLOCK SAN ANTONIO AVE
Berkeley, CA
(37.899966, -122.27964)",1800 BLOCK SAN ANTONIO AVE,Berkeley,CA
22090241,THEFT MISD. (UNDER $950),02/16/2022 12:00:00 AM,1899-12-31T12:10:00.000,LARCENY,3,03/18/2022 12:00:00 AM,"2600 BLOCK STUART ST
Berkeley, CA
(37.859854, -122.255807)",2600 BLOCK STUART ST,Berkeley,CA
21055282,ROBBERY,11/29/2021 12:00:00 AM,1899-12-31T16:24:00.000,ROBBERY,1,03/18/2022 12:00:00 AM,"1700 BLOCK SAN PABLO AVE
Berkeley, CA
(37.87325, -122.293558)",1700 BLOCK SAN PABLO AVE,Berkeley,CA
22002471,THEFT FELONY (OVER $950),01/09/2022 12:00:00 AM,1899-12-31T18:00:00.000,LARCENY,0,03/18/2022 12:00:00 AM,"2600 BLOCK VIRGINIA ST
Berkeley, CA
(37.878056, -122.258553)",2600 BLOCK VIRGINIA ST,Berkeley,CA
22006749,DISTURBANCE,02/11/2022 12:00:00 AM,1899-12-31T20:00:00.000,DISORDERLY CONDUCT,5,03/18/2022 12:00:00 AM,"2900 BLOCK MARTIN LUTHER KING JR WAY
Berkeley, CA
(37.855998, -122.271278)",2900 BLOCK MARTIN LUTHER KING JR WAY,Berkeley,CA
22009681,THEFT MISD. (UNDER $950),03/01/2022 12:00:00 AM,1899-12-31T17:40:00.000,LARCENY,2,03/18/2022 12:00:00 AM,"2600 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.862915, -122.258707)",2600 BLOCK TELEGRAPH AVE,Berkeley,CA
22002884,BURGLARY RESIDENTIAL,01/20/2022 12:00:00 AM,1899-12-31T01:10:00.000,BURGLARY - RESIDENTIAL,4,03/18/2022 12:00:00 AM,"2500 BLOCK VIRGINIA ST
Berkeley, CA
(37.877835, -122.260355)",2500 BLOCK VIRGINIA ST,Berkeley,CA
21091582,THEFT MISD. (UNDER $950),12/10/2021 12:00:00 AM,1899-12-31T18:40:00.000,LARCENY,5,03/18/2022 12:00:00 AM,"1500 BLOCK WOOLSEY ST
Berkeley, CA
(37.85062, -122.278313)",1500 BLOCK WOOLSEY ST,Berkeley,CA
21055032,THEFT MISD. (UNDER $950),11/27/2021 12:00:00 AM,1899-12-31T18:00:00.000,LARCENY,6,03/18/2022 12:00:00 AM,"2600 BLOCK TELEGRAPH AVE
Berkeley, CA
(37.862915, -122.258707)",2600 BLOCK TELEGRAPH AVE,Berkeley,CA
21057810,DOMESTIC VIOLENCE,12/14/2021 12:00:00 AM,1899-12-31T07:28:00.000,FAMILY OFFENSE,2,03/18/2022 12:00:00 AM,"700 BLOCK HARRISON ST
Berkeley, CA
(37.88055, -122.304962)",700 BLOCK HARRISON ST,Berkeley,CA
21056684,MISSING ADULT,12/07/2021 12:00:00 AM,1899-12-31T13:30:00.000,MISSING PERSON,2,03/18/2022 12:00:00 AM,"2400 BLOCK ASHBY AVE
Berkeley, CA
(37.856111, -122.260244)",2400 BLOCK ASHBY AVE,Berkeley,CA
22007081,ASSAULT/BATTERY MISD.,02/13/2022 12:00:00 AM,1899-12-31T23:40:00.000,ASSAULT,0,03/18/2022 12:00:00 AM,"1700 BLOCK ALCATRAZ AVE
Berkeley, CA
(37.848453, -122.273607)",1700 BLOCK ALCATRAZ AVE,Berkeley,CA
21045544,DISTURBANCE,10/03/2021 12:00:00 AM,1899-12-31T13:05:00.000,DISORDERLY CONDUCT,0,03/18/2022 12:00:00 AM,"2500 BLOCK SHATTUCK AVE
Berkeley, CA
(37.863793, -122.26741)",2500 BLOCK SHATTUCK AVE,Berkeley,CA
22007238,THEFT FELONY (OVER $950),02/14/2022 12:00:00 AM,1899-12-31T20:00:00.000,LARCENY,1,03/18/2022 12:00:00 AM,"2000 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.871826, -122.270532)",2000 BLOCK UNIVERSITY AVE,Berkeley,CA
22002168,BURGLARY AUTO,01/14/2022 12:00:00 AM,1899-12-31T21:00:00.000,BURGLARY - VEHICLE,5,03/18/2022 12:00:00 AM,"1800 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.871246, -122.274992)",1800 BLOCK UNIVERSITY AVE,Berkeley,CA
22090267,THEFT MISD. (UNDER $950),02/26/2022 12:00:00 AM,1899-12-31T14:30:00.000,LARCENY,6,03/18/2022 12:00:00 AM,"1500 BLOCK FAIRVIEW ST
Berkeley, CA
(37.849747, -122.277907)",1500 BLOCK FAIRVIEW ST,Berkeley,CA
22002996,ROBBERY,01/20/2022 12:00:00 AM,1899-12-31T08:15:00.000,ROBBERY,4,03/18/2022 12:00:00 AM,"3100 BLOCK ACTON ST
Berkeley, CA
(37.851098, -122.280946)",3100 BLOCK ACTON ST,Berkeley,CA
22090058,BURGLARY AUTO,01/11/2022 12:00:00 AM,1899-12-31T20:30:00.000,BURGLARY - VEHICLE,2,03/18/2022 12:00:00 AM,"2200 BLOCK SHATTUCK AVE
Berkeley, CA
(37.869363, -122.268028)",2200 BLOCK SHATTUCK AVE,Berkeley,CA
21047252,VEHICLE STOLEN,10/02/2021 12:00:00 AM,1899-12-31T00:00:00.000,MOTOR VEHICLE THEFT,6,03/18/2022 12:00:00 AM,"1800 BLOCK EASTSHORE HWY
Berkeley, CA
(37.86885, -122.303969)",1800 BLOCK EASTSHORE HWY,Berkeley,CA
21047391,DISTURBANCE,10/14/2021 12:00:00 AM,1899-12-31T04:30:00.000,DISORDERLY CONDUCT,4,03/18/2022 12:00:00 AM,"2700 BLOCK RUSSELL ST
Berkeley, CA
(37.858518, -122.252653)",2700 BLOCK RUSSELL ST,Berkeley,CA
21059521,VANDALISM,12/25/2021 12:00:00 AM,1899-12-31T14:11:00.000,VANDALISM,6,03/18/2022 12:00:00 AM,"800 BLOCK UNIVERSITY AVE
Berkeley, CA
(37.86771, -122.298465)",800 BLOCK UNIVERSITY AVE,Berkeley,CA
